Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716315337;21/05/2024;18:15:37;Jalar;1851,685,;532,814,;81,056,;42,773,;12,1,;1887,963,;540,754,;84,697,;45,301,;12,657,;1198,099,;346,208,;55,606,;28,953,;8,111,;1704,116,;491,737,;76,97,;41,004,;11,644,;1880,621,;543,302,;81,901,;43,558,;13,291,;1815,813,;536,79,;81,989,;41,809,;14,594,;1517,893,;449,401,;69,753,;33,935,;10,289,;1655,952,;505,632,;74,518,;38,975,;11,921,;646,411,;193,794,;31,713,;16,101,;5,09,;1871,439,;570,416,;83,665,;47,404,;12,452,;1103,99,;340,519,;51,239,;27,607,;8,358,;1283,751,;398,518,;61,992,;31,233,;9,482,;1556,257,;470,097,;73,004,;40;11,409,;1111,383,;332,416,;53,114,;28,84,;8,413
1716315337;21/05/2024;18:15:37;Jalar;1954,653,;561,096,;78,49,;45,598,;12,759,;1981,561,;568,116,;83,179,;48,839,;13,392,;1272,976,;368,387,;53,824,;30,793,;8,543,;1810,674,;523,693,;74,976,;44,173,;12,318,;2029,113,;580,959,;79,784,;47,45,;14,122,;1955,491,;573,875,;78,022,;44,515,;15,455,;1635,623,;481,612,;65,509,;36,408,;11,166,;1781,059,;545,57,;71,941,;41,281,;12,752,;694,13,;205,862,;29,807,;17,109,;5,321,;2023,842,;608,771,;79,63,;50,713,;13,261,;1193,245,;365,313,;48,955,;29,822,;8,869,;1375,857,;427,038,;59,714,;33,181,;10,185,;1695,597,;504,121,;70,283,;43,119,;12,036,;1189,827,;355,247,;51,283,;30,94,;9,037
1716315337;21/05/2024;18:15:37;Jalar;2007,233,;563,306,;69,073,;45,73,;12,842,;2027,94,;570,56,;74,717,;49,436,;13,501,;1311,275,;372,04,;47,306,;30,84,;8,615,;1866,404,;529,045,;66,756,;44,798,;12,451,;2114,718,;587,347,;71,108,;48,865,;14,294,;2026,874,;578,107,;68,568,;44,923,;15,535,;1697,211,;486,172,;56,102,;36,949,;11,535,;1846,558,;555,121,;63,572,;41,123,;12,982,;718,543,;207,571,;25,816,;17,315,;5,337,;2113,316,;612,787,;69,229,;51,231,;13,651,;1244,5,;370,237,;42,582,;30,492,;8,997,;1423,874,;431,589,;52,246,;33,365,;10,464,;1782,003,;510,839,;61,218,;43,829,;12,082,;1234,201,;360,474,;44,81,;31,346,;9,28
1716315337;21/05/2024;18:15:37;Jalar;2012,558,;534,931,;55,862,;43,504,;12,436,;2031,424,;543,853,;62,32,;47,358,;13,056,;1315,95,;354,458,;38,174,;29,306,;8,375,;1874,096,;503,974,;55,07,;43,043,;12,097,;2135,27,;558,653,;58,834,;47,704,;13,848,;2032,92,;547,443,;56,557,;42,923,;14,924,;1705,356,;460,425,;44,708,;35,432,;11,43,;1855,338,;529,579,;52,052,;38,912,;12,658,;720,086,;197,236,;20,827,;16,709,;5,153,;2138,476,;579,357,;55,743,;49,161,;13,62,;1256,034,;351,957,;33,88,;29,622,;8,777,;1429,12,;409,028,;41,726,;31,911,;10,317,;1807,498,;485,127,;48,327,;42,214,;11,646,;1243,606,;344,469,;35,647,;30,184,;9,144
1716315337;21/05/2024;18:15:37;Jalar;1988,519,;487,34,;43,199,;40,048,;11,813,;2010,828,;499,422,;50,248,;43,761,;12,321,;1300,075,;323,565,;29,421,;26,959,;7,995,;1851,306,;459,868,;43,832,;39,892,;11,477,;2107,473,;507,871,;47,152,;44,837,;13,053,;1995,967,;496,517,;45,599,;39,315,;13,928,;1679,346,;415,649,;35,105,;32,505,;11,081,;1827,965,;479,801,;41,116,;35,781,;12,041,;706,013,;178,928,;16,227,;15,579,;4,843,;2117,429,;522,965,;43,446,;45,664,;13,361,;1237,66,;318,022,;25,45,;27,804,;8,357,;1405,896,;368,844,;31,359,;29,547,;9,886,;1780,606,;436,652,;35,489,;39,212,;10,984,;1227,649,;313,795,;26,658,;28,117,;8,755
1716315337;21/05/2024;18:15:37;Jalar;1947,448,;436,175,;34,333,;36,629,;11,283,;1978,592,;451,852,;41,615,;40,022,;11,609,;1272,479,;289,906,;23,285,;24,673,;7,673,;1810,616,;411,529,;35,921,;36,579,;10,866,;2045,727,;451,616,;39,075,;41,56,;12,264,;1933,8,;442,64,;38,147,;35,444,;12,914,;1634,212,;366,089,;29,703,;29,286,;10,764,;1780,307,;421,411,;33,494,;32,923,;11,459,;682,068,;158,365,;13,005,;14,346,;4,513,;2064,341,;462,071,;35,298,;42,158,;13,137,;1197,375,;279,488,;19,321,;25,832,;7,918,;1364,325,;324,304,;23,707,;27,175,;9,375,;1710,758,;380,723,;25,879,;36,017,;10,377,;1193,972,;278,533,;20,086,;25,948,;8,286
1716315337;21/05/2024;18:15:37;Jalar;1888,832,;385,408,;30,106,;34,009,;11,013,;1932,257,;404,007,;37,129,;37,019,;11,107,;1233,244,;256,272,;20,308,;22,963,;7,521,;1753,268,;363,031,;31,971,;33,895,;10,437,;1955,531,;395,179,;35,229,;38,783,;11,716,;1851,816,;390,836,;34,498,;32,401,;12,117,;1573,31,;316,912,;28,512,;26,693,;10,645,;1715,992,;361,436,;29,868,;30,933,;11,112,;650,831,;137,816,;11,362,;13,302,;4,242,;1984,292,;402,77,;31,722,;39,41,;13,093,;1139,746,;241,008,;16,148,;24,222,;7,571,;1308,365,;280,488,;19,579,;25,368,;8,93,;1607,539,;324,363,;20,749,;33,424,;9,978,;1145,576,;242,549,;16,71,;24,188,;7,865
1716315338;21/05/2024;18:15:38;Jalar;1817,086,;344,318,;29,68,;32,363,;10,931,;1872,063,;365,227,;36,011,;34,982,;10,782,;1185,374,;228,778,;19,898,;21,939,;7,489,;1684,133,;323,846,;31,275,;32,062,;10,159,;1848,817,;349,619,;34,861,;36,821,;11,399,;1758,365,;350,177,;33,729,;30,622,;11,535,;1501,333,;277,174,;30,064,;25,12,;10,69,;1640,787,;311,635,;29,596,;29,797,;10,96,;615,825,;121,373,;11,012,;12,529,;4,035,;1887,596,;355,547,;31,582,;37,444,;13,138,;1073,577,;210,094,;15,61,;23,175,;7,309,;1246,298,;245,449,;18,571,;24,339,;8,57,;1490,42,;278,471,;19,796,;31,716,;9,743,;1089,422,;212,694,;16,176,;23,025,;7,51
1716315338;21/05/2024;18:15:38;Jalar;1736,399,;317,563,;30,933,;31,766,;10,807,;1795,807,;340,342,;36,285,;33,981,;10,448,;1131,834,;210,52,;20,623,;21,628,;7,423,;1606,916,;299,073,;32,001,;31,155,;9,864,;1738,308,;320,947,;36,096,;35,782,;11,12,;1661,389,;324,343,;34,04,;30,165,;10,997,;1422,312,;251,196,;32,064,;24,647,;10,727,;1559,975,;278,545,;30,972,;29,405,;10,776,;580,792,;111,393,;11,264,;12,07,;3,839,;1785,052,;325,561,;32,72,;36,111,;13,027,;1009,191,;190,565,;16,574,;22,823,;7,041,;1185,56,;223,123,;19,252,;24,253,;8,206,;1383,831,;249,138,;21,398,;31,034,;9,494,;1032,811,;192,645,;17,205,;22,605,;7,15
1716315338;21/05/2024;18:15:38;Jalar;1649,265,;303,779,;31,933,;32,237,;10,419,;1701,91,;328,378,;36,259,;33,985,;9,926,;1074,311,;200,697,;21,223,;22,014,;7,172,;1523,786,;287,816,;32,546,;31,168,;9,385,;1632,488,;308,196,;37,278,;35,623,;10,676,;1565,908,;311,096,;33,995,;30,846,;10,337,;1338,862,;237,923,;32,799,;25,143,;10,567,;1476,322,;261,584,;32,374,;29,695,;10,327,;547,429,;107,608,;11,496,;11,971,;3,592,;1683,249,;310,957,;33,394,;35,333,;12,526,;953,291,;181,349,;17,904,;23,221,;6,678,;1129,907,;212,237,;20,238,;25,171,;7,742,;1303,992,;235,242,;23,784,;31,419,;9,068,;979,812,;181,627,;18,508,;23,01,;6,709
