Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716317085;21/05/2024;18:44:45;Empujar;1,897,;1,583,;1,171,;0,444,;0,68,;2,675,;2,121,;1,174,;0,883,;0,685,;3,714,;1,234,;1,806,;0,485,;0,678,;4,049,;1,964,;1,28,;0,879,;0,649,;1,845,;1,099,;0,981,;0,868,;0,685,;1,59,;0,71,;0,825,;0,507,;0,508,;2,755,;1,456,;1,223,;0,422,;0,661,;1,425,;1,811,;1,218,;0,522,;0,782,;0,269,;0,528,;0,632,;0,295,;0,373,;61,351,;11,171,;3,195,;1,461,;0,695,;1,328,;2,901,;2,22,;1,252,;1,364,;3,656,;6,63,;3,354,;1,778,;1,444,;2,989,;4,392,;2,323,;1,076,;0,94,;2,42,;1,849,;1,381,;0,702,;0,6
1716317085;21/05/2024;18:44:45;Empujar;1,962,;1,647,;1,513,;0,442,;0,67,;2,562,;1,941,;1,605,;0,777,;0,692,;3,521,;1,538,;2,402,;0,43,;0,692,;3,781,;1,919,;1,8,;0,825,;0,668,;1,813,;0,967,;1,271,;0,713,;0,709,;1,635,;0,743,;0,96,;0,437,;0,52,;3,015,;1,37,;1,364,;0,431,;0,702,;1,515,;1,584,;1,436,;0,448,;0,813,;0,362,;0,516,;0,721,;0,239,;0,369,;62,087,;10,742,;3,59,;1,291,;0,674,;1,39,;2,458,;2,867,;1,156,;1,415,;4,278,;5,74,;4,37,;1,687,;1,568,;2,791,;3,488,;2,997,;0,969,;0,924,;2,493,;1,695,;1,724,;0,656,;0,59
1716317085;21/05/2024;18:44:45;Empujar;1,886,;1,695,;1,794,;0,449,;0,675,;2,318,;1,791,;1,989,;0,712,;0,697,;3,146,;1,848,;2,87,;0,436,;0,723,;3,419,;1,91,;2,252,;0,79,;0,693,;1,697,;0,853,;1,511,;0,588,;0,718,;1,535,;0,769,;1,1,;0,394,;0,53,;3,001,;1,224,;1,49,;0,47,;0,742,;1,718,;1,253,;1,601,;0,41,;0,883,;0,471,;0,515,;0,77,;0,196,;0,373,;53,022,;9,118,;3,657,;1,111,;0,709,;1,594,;2,082,;3,365,;1,051,;1,49,;4,788,;4,587,;5,267,;1,673,;1,778,;2,649,;2,773,;3,605,;0,909,;0,942,;2,449,;1,578,;1,985,;0,637,;0,585
1716317085;21/05/2024;18:44:45;Empujar;1,692,;1,682,;1,963,;0,471,;0,71,;2,028,;1,671,;2,234,;0,71,;0,715,;2,668,;2,05,;3,109,;0,495,;0,782,;3,084,;1,899,;2,536,;0,8,;0,733,;1,51,;0,757,;1,654,;0,524,;0,72,;1,307,;0,782,;1,238,;0,391,;0,55,;2,708,;1,062,;1,596,;0,551,;0,785,;1,955,;0,903,;1,669,;0,423,;0,986,;0,535,;0,51,;0,755,;0,176,;0,387,;39,124,;6,762,;3,367,;0,987,;0,805,;1,953,;1,749,;3,564,;0,968,;1,59,;5,076,;3,348,;5,753,;1,741,;2,047,;2,727,;2,286,;3,991,;0,923,;1,015,;2,342,;1,479,;2,094,;0,663,;0,615
1716317085;21/05/2024;18:44:45;Empujar;1,453,;1,584,;2,016,;0,505,;0,78,;1,784,;1,577,;2,297,;0,766,;0,753,;2,176,;2,098,;3,111,;0,581,;0,865,;2,831,;1,856,;2,618,;0,863,;0,789,;1,274,;0,673,;1,686,;0,524,;0,724,;1,028,;0,785,;1,362,;0,428,;0,584,;2,28,;0,948,;1,697,;0,674,;0,827,;2,168,;0,632,;1,63,;0,481,;1,103,;0,56,;0,484,;0,672,;0,183,;0,404,;23,891,;4,354,;2,845,;0,947,;0,939,;2,459,;1,455,;3,431,;0,932,;1,698,;5,099,;2,242,;5,671,;1,847,;2,317,;3,108,;2,018,;4,085,;1,011,;1,142,;2,273,;1,369,;2,045,;0,726,;0,694
1716317085;21/05/2024;18:44:45;Empujar;1,239,;1,4,;1,972,;0,541,;0,874,;1,615,;1,466,;2,179,;0,848,;0,806,;1,748,;1,986,;2,934,;0,662,;0,952,;2,635,;1,758,;2,521,;0,964,;0,853,;1,008,;0,595,;1,623,;0,571,;0,731,;0,771,;0,783,;1,446,;0,492,;0,625,;1,852,;0,956,;1,804,;0,819,;0,859,;2,274,;0,512,;1,511,;0,564,;1,206,;0,52,;0,43,;0,546,;0,208,;0,413,;11,831,;2,424,;2,265,;0,97,;1,066,;3,03,;1,215,;3,042,;0,961,;1,776,;4,958,;1,421,;5,065,;1,936,;2,517,;3,693,;1,892,;3,92,;1,148,;1,288,;2,312,;1,218,;1,882,;0,81,;0,807
1716317086;21/05/2024;18:44:46;Empujar;1,088,;1,176,;1,867,;0,57,;0,973,;1,5,;1,324,;1,93,;0,92,;0,85,;1,446,;1,777,;2,663,;0,709,;1,016,;2,436,;1,629,;2,306,;1,076,;0,9,;0,756,;0,534,;1,493,;0,64,;0,736,;0,594,;0,777,;1,464,;0,56,;0,655,;1,56,;1,097,;1,896,;0,948,;0,868,;2,255,;0,56,;1,359,;0,637,;1,267,;0,457,;0,356,;0,417,;0,235,;0,406,;4,644,;1,208,;1,778,;1,004,;1,144,;3,526,;1,063,;2,55,;1,051,;1,786,;4,793,;0,947,;4,17,;1,955,;2,593,;4,295,;1,821,;3,585,;1,294,;1,4,;2,474,;1,045,;1,672,;0,895,;0,92
1716317086;21/05/2024;18:44:46;Empujar;1,022,;0,982,;1,731,;0,579,;1,052,;1,43,;1,203,;1,621,;0,95,;0,861,;1,299,;1,566,;2,363,;0,703,;1,032,;2,241,;1,529,;2,044,;1,162,;0,911,;0,574,;0,511,;1,33,;0,705,;0,725,;0,525,;0,758,;1,388,;0,605,;0,66,;1,441,;1,313,;1,914,;1,023,;0,845,;2,105,;0,718,;1,207,;0,668,;1,269,;0,385,;0,28,;0,319,;0,25,;0,385,;1,76,;0,652,;1,461,;0,989,;1,151,;3,801,;1,044,;2,098,;1,166,;1,711,;4,66,;0,78,;3,262,;1,876,;2,532,;4,72,;1,774,;3,178,;1,4,;1,435,;2,719,;0,902,;1,466,;0,958,;0,993
1716317086;21/05/2024;18:44:46;Empujar;1,026,;0,869,;1,57,;0,568,;1,089,;1,412,;1,158,;1,315,;0,93,;0,828,;1,312,;1,409,;2,068,;0,652,;1;2,115,;1,489,;1,768,;1,202,;0,883,;0,514,;0,539,;1,159,;0,756,;0,692,;0,547,;0,714,;1,216,;0,611,;0,637,;1,434,;1,492,;1,798,;1,022,;0,793,;1,845,;0,88,;1,074,;0,647,;1,214,;0,335,;0,22,;0,265,;0,245,;0,357,;1,275,;0,496,;1,28,;0,913,;1,096,;3,761,;1,159,;1,755,;1,258,;1,566,;4,527,;0,794,;2,586,;1,741,;2,364,;4,849,;1,759,;2,76,;1,439,;1,387,;2,953,;0,833,;1,283,;0,983,;1,009
1716317086;21/05/2024;18:44:46;Empujar;1,078,;0,857,;1,38,;0,546,;1,072,;1,412,;1,245,;1,044,;0,872,;0,759,;1,446,;1,341,;1,791,;0,585,;0,932,;2,117,;1,544,;1,481,;1,2,;0,835,;0,564,;0,663,;0,997,;0,796,;0,647,;0,604,;0,666,;0,982,;0,581,;0,599,;1,423,;1,558,;1,543,;0,955,;0,728,;1,524,;0,96,;0,958,;0,588,;1,118,;0,324,;0,184,;0,245,;0,227,;0,33,;1,449,;0,514,;1,154,;0,803,;1,012,;3,387,;1,38,;1,513,;1,3,;1,39,;4,27,;0,893,;2,278,;1,643,;2,144,;4,597,;1,829,;2,356,;1,411,;1,286,;3,058,;0,859,;1,118,;0,969,;0,975
