Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716316683;21/05/2024;18:38:03;Derecha;1,693,;1,334,;0,65,;0,4,;0,469,;1,461,;1,712,;1,501,;0,463,;0,53,;12,004,;4,603,;2,222,;0,608,;0,47,;2,814,;0,993,;1,319,;0,838,;0,739,;3,356,;1,293,;0,82,;0,501,;0,397,;1,567,;0,345,;1,108,;0,516,;0,352,;1,058,;0,578,;1,188,;0,676,;0,42,;2,015,;1,272,;0,723,;0,537,;0,354,;0,501,;0,214,;0,182,;0,287,;0,158,;3,552,;1,213,;1,338,;0,659,;0,574,;5,34,;1,561,;1,832,;1,159,;0,701,;8,34,;4,293,;2,257,;1,557,;0,82,;5,057,;1,708,;1,395,;0,76,;0,649,;1,934,;0,649,;0,649,;0,256,;0,231
1716316683;21/05/2024;18:38:03;Derecha;1,942,;1,492,;0,668,;0,372,;0,451,;1,725,;1,713,;1,687,;0,378,;0,48,;9,532,;3,34,;1,728,;0,522,;0,386,;3,293,;1,047,;1,277,;0,76,;0,72,;3,357,;1,121,;0,812,;0,456,;0,362,;1,839,;0,322,;0,956,;0,441,;0,324,;1,205,;0,64,;1,103,;0,628,;0,39,;2,558,;1,693,;0,871,;0,522,;0,321,;0,551,;0,253,;0,199,;0,259,;0,126,;2,911,;1,179,;1,154,;0,651,;0,461,;5,486,;1,954,;1,748,;1,231,;0,647,;9,517,;5,079,;2,471,;1,476,;0,696,;4,389,;1,818,;1,393,;0,847,;0,523,;2,106,;0,856,;0,694,;0,28,;0,22
1716316683;21/05/2024;18:38:03;Derecha;2,102,;1,619,;0,706,;0,339,;0,442,;2,046,;1,851,;1,926,;0,32,;0,48,;8,044,;2,539,;1,382,;0,452,;0,335,;3,635,;1,158,;1,292,;0,732,;0,693,;3,519,;1,076,;0,884,;0,414,;0,367,;2,124,;0,356,;0,79,;0,386,;0,303,;1,411,;0,764,;1,03,;0,563,;0,366,;3,199,;2,307,;1,112,;0,508,;0,311,;0,628,;0,329,;0,257,;0,228,;0,106,;2,505,;1,279,;1,127,;0,612,;0,385,;6,024,;2,561,;1,857,;1,262,;0,622,;11,036,;6,241,;2,897,;1,33,;0,657,;4,024,;2,031,;1,584,;0,915,;0,444,;2,264,;1,056,;0,771,;0,312,;0,216
1716316683;21/05/2024;18:38:03;Derecha;2,087,;1,678,;0,8,;0,313,;0,44,;2,31,;2,089,;2,249,;0,303,;0,52,;7,127,;2,191,;1,251,;0,426,;0,324,;3,666,;1,299,;1,42,;0,757,;0,658,;4,049,;1,137,;1,108,;0,397,;0,408,;2,345,;0,437,;0,709,;0,365,;0,293,;1,635,;0,923,;1,026,;0,512,;0,353,;3,817,;2,954,;1,453,;0,517,;0,331,;0,719,;0,431,;0,365,;0,204,;0,104,;2,368,;1,517,;1,334,;0,591,;0,362,;6,662,;3,268,;2,252,;1,292,;0,628,;12,395,;7,595,;3,635,;1,233,;0,709,;3,762,;2,309,;1,957,;0,976,;0,426,;2,316,;1,201,;0,88,;0,356,;0,218
1716316683;21/05/2024;18:38:03;Derecha;1,887,;1,656,;0,965,;0,299,;0,439,;2,436,;2,327,;2,633,;0,326,;0,569,;6,295,;2,105,;1,335,;0,454,;0,343,;3,334,;1,413,;1,661,;0,815,;0,609,;4,571,;1,269,;1,499,;0,416,;0,461,;2,436,;0,541,;0,78,;0,378,;0,29,;1,839,;1,108,;1,145,;0,504,;0,354,;4,297,;3,456,;1,89,;0,56,;0,374,;0,802,;0,532,;0,516,;0,196,;0,12,;2,385,;1,838,;1,816,;0,636,;0,385,;7,066,;3,878,;2,964,;1,359,;0,658,;13,123,;8,778,;4,695,;1,289,;0,821,;3,489,;2,568,;2,493,;1,04,;0,464,;2,199,;1,257,;1,014,;0,411,;0,226
1716316684;21/05/2024;18:38:04;Derecha;1,59,;1,569,;1,167,;0,302,;0,438,;2,429,;2,435,;2,982,;0,372,;0,595,;5,211,;2,046,;1,554,;0,533,;0,371,;2,709,;1,437,;1,946,;0,864,;0,55,;5,551,;1,407,;1,991,;0,47,;0,504,;2,376,;0,641,;0,994,;0,418,;0,288,;2,016,;1,321,;1,389,;0,556,;0,366,;4,529,;3,67,;2,377,;0,634,;0,429,;0,854,;0,596,;0,683,;0,207,;0,15,;2,39,;2,132,;2,523,;0,753,;0,428,;7,017,;4,164,;3,892,;1,45,;0,7,;13,027,;9,342,;5,923,;1,522,;0,946,;3,185,;2,688,;3,147,;1,1,;0,536,;1,919,;1,206,;1,157,;0,467,;0,238
1716316684;21/05/2024;18:38:04;Derecha;1,312,;1,461,;1,341,;0,322,;0,442,;2,334,;2,317,;3,158,;0,422,;0,585,;4,033,;1,92,;1,798,;0,645,;0,393,;2,002,;1,342,;2,165,;0,873,;0,495,;6,535,;1,473,;2,442,;0,543,;0,518,;2,183,;0,699,;1,262,;0,467,;0,283,;2,139,;1,535,;1,687,;0,657,;0,384,;4,417,;3,53,;2,814,;0,724,;0,478,;0,85,;0,598,;0,826,;0,233,;0,184,;2,235,;2,292,;3,289,;0,9,;0,464,;6,464,;3,989,;4,796,;1,525,;0,745,;12,136,;9,043,;7,016,;1,872,;1,037,;2,907,;2,598,;3,801,;1,132,;0,612,;1,543,;1,072,;1,273,;0,509,;0,249
1716316684;21/05/2024;18:38:04;Derecha;1,197,;1,376,;1,418,;0,349,;0,46,;2,216,;1,972,;3,051,;0,455,;0,549,;3,006,;1,766,;1,965,;0,754,;0,406,;1,451,;1,157,;2,218,;0,836,;0,474,;7,708,;1,415,;2,704,;0,612,;0,506,;1,895,;0,694,;1,469,;0,504,;0,277,;2,233,;1,705,;1,929,;0,769,;0,407,;3,937,;3,101,;3,085,;0,805,;0,512,;0,781,;0,543,;0,908,;0,261,;0,215,;1,925,;2,267,;3,898,;1,014,;0,479,;5,543,;3,389,;5,4,;1,527,;0,792,;10,695,;7,932,;7,666,;2,202,;1,078,;2,817,;2,342,;4,302,;1,109,;0,676,;1,187,;0,901,;1,326,;0,523,;0,257
1716316684;21/05/2024;18:38:04;Derecha;1,319,;1,331,;1,357,;0,372,;0,495,;2,17,;1,497,;2,656,;0,469,;0,511,;2,35,;1,646,;1,989,;0,823,;0,418,;1,154,;0,95,;2,067,;0,781,;0,508,;8,525,;1,241,;2,678,;0,659,;0,482,;1,589,;0,629,;1,526,;0,514,;0,278,;2,348,;1,783,;2,029,;0,852,;0,431,;3,206,;2,552,;3,123,;0,854,;0,527,;0,673,;0,459,;0,912,;0,282,;0,233,;1,565,;2,066,;4,169,;1,055,;0,48,;4,611,;2,573,;5,507,;1,435,;0,851,;9,119,;6,344,;7,68,;2,388,;1,081,;3,347,;2,075,;4,51,;1,031,;0,732,;0,943,;0,746,;1,287,;0,504,;0,264
1716316684;21/05/2024;18:38:04;Derecha;1,742,;1,302,;1,172,;0,386,;0,545,;2,267,;1,037,;2,066,;0,465,;0,493,;2,168,;1,586,;1,86,;0,835,;0,437,;1,171,;0,806,;1,757,;0,737,;0,602,;9,001,;1,06,;2,379,;0,671,;0,465,;1,29,;0,534,;1,405,;0,495,;0,291,;2,489,;1,749,;1,959,;0,876,;0,457,;2,389,;2,058,;2,924,;0,863,;0,528,;0,565,;0,382,;0,842,;0,29,;0,239,;1,384,;1,749,;4,022,;1,028,;0,483,;4,141,;1,828,;5,081,;1,273,;0,932,;7,945,;4,72,;7,062,;2,357,;1,074,;5,163,;2,014,;4,373,;0,931,;0,796,;0,924,;0,645,;1,157,;0,462,;0,275
1716316684;21/05/2024;18:38:04;Derecha;2,472,;1,247,;0,925,;0,391,;0,593,;2,584,;0,743,;1,441,;0,449,;0,503,;2,448,;1,559,;1,625,;0,791,;0,463,;1,47,;0,801,;1,396,;0,722,;0,732,;8,883,;1,094,;1,909,;0,646,;0,467,;1,04,;0,469,;1,155,;0,453,;0,319,;2,667,;1,635,;1,767,;0,838,;0,478,;1,679,;1,719,;2,552,;0,834,;0,524,;0,492,;0,341,;0,722,;0,285,;0,235,;1,484,;1,395,;3,502,;0,967,;0,505,;4,34,;1,366,;4,242,;1,105,;1,032,;7,433,;3,381,;5,971,;2,119,;1,081,;8,504,;2,323,;3,937,;0,864,;0,885,;1,125,;0,611,;0,96,;0,414,;0,293
1716316684;21/05/2024;18:38:04;Derecha;3,44,;1,134,;0,691,;0,392,;0,623,;3,084,;0,726,;0,929,;0,432,;0,537,;3,213,;1,547,;1,363,;0,713,;0,489,;2,006,;0,98,;1,096,;0,743,;0,86,;8,28,;1,546,;1,413,;0,595,;0,489,;0,826,;0,49,;0,864,;0,405,;0,358,;2,836,;1,512,;1,537,;0,759,;0,491,;1,203,;1,539,;2,097,;0,783,;0,521,;0,469,;0,343,;0,58,;0,273,;0,23,;1,863,;1,059,;2,742,;0,92,;0,555,;5,115,;1,255,;3,214,;1,01,;1,141,;7,583,;2,482,;4,659,;1,757,;1,105,;13,013,;2,997,;3,32,;0,878,;0,996,;1,513,;0,634,;0,735,;0,381,;0,318
