Timestamp;fecha; AF3/theta; AF3/alpha; AF3/betaL; AF3/betaH; AF3/gamma; F7/theta; F7/alpha; F7/betaL; F7/betaH; F7/gamma; F3/theta; F3/alpha; F3/betaL; F3/betaH; F3/gamma; FC5/theta; FC5/alpha; FC5/betaL; FC5/betaH; FC5/gamma; T7/theta; T7/alpha; T7/betaL; T7/betaH; T7/gamma; P7/theta; P7/alpha; P7/betaL; P7/betaH; P7/gamma; O1/theta; O1/alpha; O1/betaL; O1/betaH; O1/gamma; O2/theta; O2/alpha; O2/betaL; O2/betaH; O2/gamma; P8/theta; P8/alpha; P8/betaL; P8/betaH; P8/gamma; T8/theta; T8/alpha; T8/betaL; T8/betaH; T8/gamma; FC6/theta; FC6/alpha; FC6/betaL; FC6/betaH; FC6/gamma; F4/theta; F4/alpha; F4/betaL; F4/betaH; F4/gamma; F8/theta; F8/alpha; F8/betaL; F8/betaH; F8/gamma; AF4/theta; AF4/alpha; AF4/betaL; AF4/betaH; AF4/gamma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1716528567;23/05/2024;8218;1;989;0;732;0;499;0;312;0;153;0;876;0;343;0;356;0;396;0;18;1;365;0;574;0;532;0;349;0;9;0;92;0;391;0;28;0;314;0;107;0;386;0;197;0;236;0;158;0;48;0;458;0;22;0;252;0;129;0;5;0;485;0;568;0;511;0;99;0;91;0;554;0;466;0;742;0;438;0;63;0;41;0;396;0;718;0;231;0;125;1;72;1;98;0;818;0;278;0;174;2;34;1;89;1;23;0;621;0;29;2;861;1;525;1;32;0;622;0;145;6;224;1;442;0;944;0;45;0;267;2;82;1;277;0;839;0;422;0;221
1716528567;23/05/2024;9468;3;421;0;741;0;465;0;335;0;152;1;345;0;465;0;436;0;506;0;188;1;877;0;485;0;447;0;338;0;88;0;922;0;327;0;252;0;344;0;1;0;47;0;226;0;26;0;17;0;48;0;438;0;228;0;293;0;12;0;49;0;477;0;577;0;534;0;113;0;85;0;588;0;504;0;821;0;431;0;6;0;417;0;411;0;82;0;229;0;111;1;21;0;89;0;758;0;305;0;179;3;189;1;19;1;27;0;641;0;279;3;714;1;402;0;893;0;629;0;136;13;642;2;34;0;973;0;487;0;262;5;158;1;276;0;807;0;454;0;211
1716528568;23/05/2024;718;5;684;0;857;0;419;0;37;0;149;2;113;0;658;0;509;0;59;0;184;2;702;0;442;0;359;0;337;0;93;0;919;0;269;0;229;0;361;0;93;0;628;0;258;0;265;0;17;0;46;0;403;0;233;0;322;0;11;0;53;0;505;0;552;0;533;0;141;0;8;0;635;0;567;0;918;0;41;0;66;0;419;0;437;0;895;0;235;0;99;0;958;0;712;0;688;0;333;0;175;4;901;1;338;0;992;0;638;0;269;4;95;1;319;0;742;0;644;0;137;24;796;2;934;0;928;0;513;0;242;8;726;1;359;0;735;0;494;0;199
1716528568;23/05/2024;1968;8;343;1;74;0;369;0;393;0;146;2;996;0;871;0;552;0;618;0;171;3;731;0;469;0;283;0;336;0;104;0;921;0;231;0;218;0;355;0;88;0;85;0;292;0;253;0;16;0;44;0;394;0;237;0;331;0;103;0;62;0;576;0;499;0;497;0;176;0;77;0;728;0;631;1;6;0;38;0;8;0;433;0;471;0;924;0;25;0;92;0;945;0;625;0;624;0;352;0;166;6;892;1;542;0;922;0;61;0;26;6;457;1;37;0;606;0;655;0;149;37;317;3;988;0;824;0;514;0;216;12;894;1;554;0;633;0;52;0;188
1716528568;23/05/2024;3218;10;7;1;316;0;323;0;39;0;149;3;724;1;32;0;554;0;58;0;155;4;731;0;553;0;235;0;326;0;119;0;928;0;217;0;223;0;325;0;87;1;93;0;321;0;229;0;142;0;42;0;468;0;256;0;319;0;98;0;76;0;698;0;433;0;428;0;211;0;77;0;887;0;676;1;48;0;344;0;98;0;487;0;504;0;893;0;268;0;91;1;49;0;644;0;568;0;36;0;158;8;69;1;768;0;828;0;566;0;258;7;959;1;574;0;501;0;654;0;172;47;631;4;891;0;691;0;484;0;191;16;601;1;806;0;521;0;515;0;183
1716528568;23/05/2024;4468;11;936;1;475;0;286;0;362;0;158;4;24;1;84;0;521;0;492;0;145;5;379;0;65;0;222;0;306;0;133;0;918;0;218;0;243;0;278;0;94;1;281;0;337;0;202;0;122;0;44;0;645;0;3;0;297;0;94;0;92;0;849;0;373;0;342;0;238;0;8;1;98;0;693;1;16;0;308;0;115;0;606;0;533;0;808;0;28;0;98;1;298;0;732;0;515;0;357;0;157;9;739;1;947;0;722;0;518;0;265;8;991;1;857;0;431;0;637;0;203;52;107;5;312;0;568;0;433;0;177;18;622;1;994;0;421;0;477;0;187
1716528568;23/05/2024;5718;11;633;1;465;0;263;0;321;0;169;3;793;1;15;0;473;0;385;0;144;5;456;0;708;0;248;0;282;0;144;0;883;0;224;0;271;0;228;0;105;1;351;0;333;0;177;0;103;0;49;0;893;0;373;0;278;0;92;0;105;0;992;0;327;0;26;0;253;0;84;1;307;0;684;0;905;0;275;0;126;0;788;0;552;0;697;0;281;0;113;1;649;0;833;0;458;0;349;0;163;9;702;2;7;0;616;0;478;0;281;9;223;2;86;0;39;0;606;0;237;49;12;5;83;0;481;0;38;0;178;18;322;2;3;0;353;0;42;0;193
1716528568;23/05/2024;6968;9;876;1;262;0;253;0;282;0;176;3;12;0;862;0;429;0;295;0;149;4;908;0;688;0;303;0;261;0;148;0;816;0;22;0;299;0;192;0;12;1;281;0;308;0;154;0;89;0;56;1;134;0;463;0;272;0;89;0;112;1;77;0;296;0;198;0;253;0;88;1;439;0;648;0;741;0;243;0;13;0;996;0;551;0;585;0;271;0;133;2;0;894;0;401;0;343;0;174;8;564;1;901;0;521;0;453;0;298;8;497;2;13;0;374;0;568;0;268;39;68;4;264;0;445;0;345;0;192;15;74;1;774;0;319;0;364;0;195;
1716528568;23/05/2024;8218;7;279;0;929;0;255;0;258;0;177;2;253;0;685;0;402;0;243;0;155;3;931;0;587;0;372;0;251;0;146;0;735;0;204;0;32;0;18;0;135;1;102;0;268;0;132;0;82;0;65;1;281;0;544;0;279;0;87;0;111;1;72;0;271;0;162;0;241;0;89;1;444;0;585;0;566;0;214;0;125;1;17;0;522;0;496;0;255;0;152;2;238;0;894;0;351;0;341;0;183;6;709;1;645;0;445;0;446;0;309;7;24;1;952;0;378;0;53;0;289;27;146;3;151;0;46;0;343;0;212;11;777;1;359;0;31;0;328;0;189
1716528568;23/05/2024;9468;4;687;0;582;0;267;0;253;0;17;1;494;0;555;0;391;0;231;0;156;2;841;0;441;0;438;0;256;0;139;0;664;0;181;0;328;0;194;0;148;0;878;0;223;0;108;0;82;0;73;1;278;0;587;0;289;0;87;0;105;0;975;0;241;0;144;0;219;0;9;1;31;0;499;0;419;0;193;0;114;1;25;0;462;0;445;0;241;0;164;2;297;0;835;0;321;0;344;0;189;4;708;1;309;0;388;0;451;0;312;5;233;1;608;0;398;0;501;0;299;15;404;2;122;0;51;0;373;0;231;7;675;0;895;0;313;0;321;0;177
