Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716315240;21/05/2024;18:14:00;Izquierda;5,973,;2,264,;3,116,;2,683,;1,27,;4,964,;2,224,;3,096,;2,502,;1,288,;4,821,;1,986,;2,014,;1,791,;0,97,;5,284,;2,663,;2,733,;2,379,;1,237,;5,987,;3,526,;2,558,;2,228,;1,752,;5,957,;4,583,;2,657,;3,178,;1,748,;5,377,;4,583,;2,054,;2,007,;1,546,;4,396,;2,553,;1,54,;2,604,;1,345,;1,633,;0,906,;0,539,;1,095,;0,517,;3,757,;2,14,;3,289,;4,475,;2,9,;3,08,;1,321,;1,31,;2,03,;1,067,;2,913,;1,907,;1,878,;1,98,;0,946,;4,47,;1,434,;2,106,;2,59,;1,449,;3,298,;1,109,;1,627,;1,77,;0,947
1716315240;21/05/2024;18:14:00;Izquierda;6,548,;2,539,;2,966,;2,751,;1,384,;5,787,;2,615,;3,11,;2,63,;1,455,;5,225,;2,179,;1,92,;1,843,;1,074,;5,88,;3,007,;2,742,;2,416,;1,408,;6,133,;3,982,;2,802,;2,165,;1,877,;5,925,;4,909,;2,256,;3,329,;1,992,;5,149,;4,814,;1,965,;2,286,;1,669,;4,098,;2,695,;1,804,;2,384,;1,376,;1,578,;0,95,;0,57,;1,078,;0,51,;3,897,;2,164,;3,179,;4,299,;2,976,;3,345,;1,375,;1,209,;2,052,;1,061,;3,045,;2,001,;1,74,;2,095,;0,965,;4,872,;1,639,;1,825,;2,662,;1,471,;3,392,;1,131,;1,388,;1,807,;0,994
1716315240;21/05/2024;18:14:00;Izquierda;6,678,;2,709,;2,762,;2,692,;1,551,;7,247,;3,226,;3,082,;2,623,;1,673,;5,283,;2,285,;1,801,;1,829,;1,208,;6,42,;3,27,;2,662,;2,325,;1,623,;6,03,;4,158,;2,934,;1,998,;2,05,;5,538,;4,857,;2,017,;3,51,;2,294,;4,679,;4,652,;1,897,;2,544,;1,815,;3,765,;2,752,;2,215,;2,097,;1,475,;1,491,;0,996,;0,619,;1,02,;0,539,;3,963,;2,272,;2,976,;3,939,;3,063,;3,567,;1,547,;1,099,;1,968,;1,095,;3,136,;2,044,;1,538,;2,137,;1,047,;6,252,;1,972,;1,539,;2,605,;1,545,;3,447,;1,239,;1,172,;1,782,;1,101
1716315240;21/05/2024;18:14:00;Izquierda;6,297,;2,763,;2,566,;2,544,;1,721,;9,745,;4,151,;3,123,;2,492,;1,876,;5,014,;2,276,;1,703,;1,779,;1,329,;6,951,;3,44,;2,554,;2,124,;1,817,;5,65,;4,023,;2,966,;1,764,;2,211,;4,816,;4,494,;1,935,;3,622,;2,585,;4,018,;4,164,;1,877,;2,702,;1,929,;3,248,;2,667,;2,688,;1,797,;1,62,;1,347,;0,98,;0,653,;0,936,;0,586,;3,752,;2,438,;2,783,;3,515,;3,109,;3,685,;1,762,;0,988,;1,788,;1,156,;3,036,;2,023,;1,316,;2,102,;1,17,;8,748,;2,41,;1,279,;2,409,;1,64,;3,434,;1,412,;1,029,;1,693,;1,238
1716315240;21/05/2024;18:14:00;Izquierda;5,608,;2,737,;2,474,;2,374,;1,84,;13,078,;5,329,;3,349,;2,283,;1,998,;4,611,;2,182,;1,681,;1,73,;1,402,;7,455,;3,532,;2,519,;1,874,;1,928,;5,047,;3,648,;2,989,;1,525,;2,299,;3,902,;3,983,;2,006,;3,619,;2,831,;3,295,;3,522,;1,945,;2,726,;1,986,;2,606,;2,501,;3,131,;1,534,;1,787,;1,137,;0,907,;0,677,;0,849,;0,629,;3,275,;2,668,;2,793,;3,146,;3,093,;3,709,;1,971,;0,931,;1,56,;1,231,;2,759,;1,968,;1,18,;2,016,;1,3,;12,053,;2,928,;1,136,;2,114,;1,727,;3,379,;1,637,;1,038,;1,566,;1,366
1716315240;21/05/2024;18:14:00;Izquierda;4,922,;2,707,;2,546,;2,226,;1,884,;16,649,;6,559,;3,775,;2,053,;2,006,;4,296,;2,082,;1,76,;1,698,;1,414,;7,885,;3,581,;2,634,;1,638,;1,929,;4,409,;3,21,;3,107,;1,337,;2,284,;3,008,;3,512,;2,218,;3,514,;3,034,;2,673,;2,929,;2,15,;2,631,;1,989,;2,028,;2,342,;3,448,;1,334,;1,959,;0,931,;0,812,;0,717,;0,777,;0,658,;2,71,;2,993,;3,131,;2,885,;3,03,;3,701,;2,156,;0,994,;1,335,;1,311,;2,401,;1,935,;1,23,;1,912,;1,411,;15,758,;3,475,;1,213,;1,781,;1,794,;3,411,;1,903,;1,237,;1,435,;1,456
1716315240;21/05/2024;18:14:00;Izquierda;4,597,;2,764,;2,789,;2,107,;1,861,;19,352,;7,529,;4,308,;1,839,;1,916,;4,287,;2,053,;1,928,;1,671,;1,373,;8,13,;3,61,;2,909,;1,454,;1,839,;3,888,;2,893,;3,379,;1,22,;2,177,;2,302,;3,262,;2,572,;3,353,;3,203,;2,26,;2,558,;2,526,;2,472,;1,969,;1,697,;2,283,;3,608,;1,199,;2,118,;0,784,;0,747,;0,806,;0,721,;0,674,;2,328,;3,41,;3,803,;2,728,;2,958,;3,643,;2,323,;1,224,;1,15,;1,392,;2,126,;1,988,;1,515,;1,803,;1,486,;18,634,;3,994,;1,561,;1,472,;1,844,;3,505,;2,218,;1,615,;1,317,;1,497
1716315241;21/05/2024;18:14:01;Izquierda;4,792,;2,916,;3,125,;2,005,;1,807,;20,332,;7,898,;4,77,;1,664,;1,787,;4,589,;2,094,;2,136,;1,621,;1,31,;8,035,;3,579,;3,263,;1,329,;1,714,;3,516,;2,762,;3,757,;1,165,;2,036,;1,844,;3,259,;3,021,;3,194,;3,321,;2,055,;2,429,;3,043,;2,324,;1,949,;1,671,;2,312,;3,625,;1,124,;2,252,;0,736,;0,729,;0,953,;0,679,;0,686,;2,368,;3,843,;4,663,;2,637,;2,912,;3,538,;2,456,;1,597,;1,025,;1,469,;2,063,;2,124,;1,975,;1,694,;1,528,;19,92,;4,369,;2,133,;1,242,;1,89,;3,689,;2,549,;2,088,;1,228,;1,497
1716315241;21/05/2024;18:14:01;Izquierda;5,356,;3,098,;3,431,;1,89,;1,763,;19,217,;7,497,;4,971,;1,52,;1,681,;5,001,;2,141,;2,31,;1,52,;1,254,;7,471,;3,426,;3,555,;1,236,;1,61,;3,205,;2,77,;4,107,;1,137,;1,928,;1,598,;3,375,;3,457,;3,058,;3,345,;1,99,;2,441,;3,589,;2,244,;1,936,;1,932,;2,343,;3,544,;1,092,;2,35,;0,844,;0,731,;1,132,;0,647,;0,703,;2,959,;4,152,;5,455,;2,553,;2,901,;3,477,;2,539,;2,027,;0,955,;1,538,;2,285,;2,287,;2,464,;1,574,;1,549,;19,772,;4,618,;2,838,;1,115,;1,949,;3,971,;2,854,;2,535,;1,163,;1,478
1716315241;21/05/2024;18:14:01;Izquierda;5,938,;3,21,;3,577,;1,754,;1,744,;16,432,;6,428,;4,787,;1,4,;1,629,;5,238,;2,105,;2,373,;1,369,;1,215,;6,494,;3,097,;3,642,;1,155,;1,552,;2,908,;2,775,;4,259,;1,122,;1,887,;1,566,;3,424,;3,727,;2,93,;3,221,;2,066,;2,445,;4;2,251,;1,917,;2,431,;2,266,;3,399,;1,105,;2,401,;1,201,;0,723,;1,299,;0,635,;0,722,;4,035,;4,207,;5,895,;2,434,;2,903,;3,494,;2,567,;2,391,;0,923,;1,587,;2,711,;2,39,;2,81,;1,444,;1,557,;18,763,;4,927,;3,538,;1,088,;2,024,;4,273,;3,089,;2,834,;1,115,;1,456
